Country,GrandSlam,Count,,COUNTRY,,UNIQUE Countries,Total slams
Argentina (ARG),Australian Open,2,,Argentina ,,Argentina ,6
Argentina (ARG),French Open,2,,Argentina ,,Australia ,100
Argentina (ARG),US Open,2,,Argentina ,,Austria ,2
Australia (AUS),Australian Open,50,,Australia ,,Brazil ,3
Australia (AUS),French Open,11,,Australia ,,Croatia ,2
Australia (AUS),US Open,18,,Australia ,,Czech Republic ,1
Australia (AUS),Wimbledon,21,,Australia ,,Czechoslovakia ,11
Austria (AUT),French Open,1,,Austria ,,Ecuador ,1
Austria (AUT),US Open,1,,Austria ,,Egypt ,3
Brazil (BRA),French Open,3,,Brazil ,,France ,49
Croatia (CRO),US Open,1,,Croatia ,,Germany ,10
Croatia (CRO),Wimbledon,1,,Croatia ,,Great Britain ,44
Czech Republic (CZE),Australian Open,1,,Czech Republic ,,Hungary ,1
Czechoslovakia (TCH),Australian Open,2,,Czechoslovakia ,,Italy ,3
Czechoslovakia (TCH),French Open,5,,Czechoslovakia ,,Mexico ,1
Czechoslovakia (TCH),US Open,3,,Czechoslovakia ,,Netherlands ,1
Czechoslovakia (TCH),Wimbledon,1,,Czechoslovakia ,,New Zealand ,6
Ecuador (ECU),French Open,1,,Ecuador ,,Romania ,2
Egypt (EGY),French Open,2,,Egypt ,,Russia ,5
Egypt (EGY),Wimbledon,1,,Egypt ,,Serbia ,21
France (FRA),Australian Open,1,,France ,,South Africa ,1
France (FRA),French Open,38,,France ,,Spain ,34
France (FRA),US Open,3,,France ,,Sweden ,26
France (FRA),Wimbledon,7,,France ,,Switzerland ,23
Germany (GER),Australian Open,2,,Germany ,,United Kingdom ,5
Germany (GER),French Open,3,,Germany ,,United States ,147
Germany (GER),US Open,1,,Germany ,,,
Germany (GER),Wimbledon,4,,Germany ,,,
Great Britain (GBR),French Open,2,,Great Britain ,,,
Great Britain (GBR),US Open,5,,Great Britain ,,,
Great Britain (GBR),Wimbledon,37,,Great Britain ,,,
Hungary (HUN),French Open,1,,Hungary ,,,
Italy (ITA),French Open,3,,Italy ,,,
Mexico (MEX),US Open,1,,Mexico ,,,
Netherlands (NED),Wimbledon,1,,Netherlands ,,,
New Zealand (NZL),Australian Open,2,,New Zealand ,,,
New Zealand (NZL),Wimbledon,4,,New Zealand ,,,
Romania (ROU),French Open,1,,Romania ,,,
Romania (ROU),US Open,1,,Romania ,,,
Russia (RUS),Australian Open,2,,Russia ,,,
Russia (RUS),French Open,1,,Russia ,,,
Russia (RUS),US Open,2,,Russia ,,,
Serbia (SRB),Australian Open,9,,Serbia ,,,
Serbia (SRB),French Open,2,,Serbia ,,,
Serbia (SRB),US Open,3,,Serbia ,,,
Serbia (SRB),Wimbledon,7,,Serbia ,,,
South Africa (RSA),Australian Open,1,,South Africa ,,,
Spain (ESP),Australian Open,2,,Spain ,,,
Spain (ESP),French Open,22,,Spain ,,,
Spain (ESP),US Open,7,,Spain ,,,
Spain (ESP),Wimbledon,3,,Spain ,,,
Sweden (SWE),Australian Open,6,,Sweden ,,,
Sweden (SWE),French Open,10,,Sweden ,,,
Sweden (SWE),US Open,3,,Sweden ,,,
Sweden (SWE),Wimbledon,7,,Sweden ,,,
Switzerland (SUI),Australian Open,7,,Switzerland ,,,
Switzerland (SUI),French Open,2,,Switzerland ,,,
Switzerland (SUI),US Open,6,,Switzerland ,,,
Switzerland (SUI),Wimbledon,8,,Switzerland ,,,
United Kingdom (GBR),Australian Open,5,,United Kingdom ,,,
United States (USA),Australian Open,18,,United States ,,,
United States (USA),French Open,11,,United States ,,,
United States (USA),US Open,85,,United States ,,,
United States (USA),Wimbledon,33,,United States ,,,