Champion,GrandSlam,Count,,Unique grand slams,Unique champions
Novak Djokovic,Australian Open,9,,Australian Open,Novak Djokovic
Novak Djokovic,French Open,2,,French Open,Rafael Nadal
Novak Djokovic,US Open,3,,US Open,Roger Federer
Novak Djokovic,Wimbledon,7,,Wimbledon,
Rafael Nadal,Australian Open,2,,,
Rafael Nadal,French Open,14,,,
Rafael Nadal,US Open,4,,,
Rafael Nadal,Wimbledon,2,,,
Roger Federer,Australian Open,6,,,
Roger Federer,French Open,1,,,
Roger Federer,US Open,5,,,
Roger Federer,Wimbledon,8,,,